src_ip,dst_ip
10.12.3.19,10.12.3.1
10.12.44.116,10.12.1.37
10.12.44.116,10.12.1.2
10.12.45.119,10.12.1.37
10.12.45.119,10.12.1.37
10.12.52.58,10.12.1.2
10.12.52.58,10.12.1.37
10.12.41.48,10.12.1.2
10.12.41.48,10.12.1.2
10.12.41.48,10.12.1.37
10.12.80.53,10.12.1.2
10.12.24.37,10.12.1.37
10.12.24.37,10.12.1.67
10.12.45.53,10.12.1.2
10.12.45.53,10.12.1.37
10.12.107.19,10.12.1.37
10.12.10.102,10.12.1.37
10.12.28.4,10.12.1.2
10.12.45.29,10.12.45.43
10.12.45.29,10.12.45.61
10.12.45.29,10.12.45.119
10.12.64.36,10.12.1.37
10.12.45.40,10.12.1.2
10.12.45.40,10.12.1.37
10.12.8.38,10.12.1.37
10.12.8.38,10.12.1.225
10.12.8.38,10.12.1.40
10.12.88.193,10.12.1.37
10.12.88.35,10.12.1.37
10.12.45.30,10.12.45.43
10.12.45.30,10.12.45.61
10.12.45.30,10.12.45.119
10.12.41.208,10.12.1.225
10.12.41.208,10.12.1.37
